_id,企业名称,企业简介,企业规模,在招职位,监理处理率,融资情况,行业,面试评价
5ec6a14c9812b424e27f267e,企鹅杏仁,成为人们一生信任的健康伙伴,500-2000人,51,100,B轮,"移动互联网,消费生活",94
5ec6a14c9812b424e27f267f,云霁科技,中国最专业的金融云管理平台提供商,50-150人,11,100,B轮,企业服务,39
5ec6a14c9812b424e27f2680,摩尔妈妈,摩尔妈妈是“共享育儿”模式开创者，首个社区共享育儿平台。由携程董事长梁建章和大鱼创始人姚娜共同创立。,15-50人,18,100,A轮,移动互联网,53
5ec6a14c9812b424e27f2681,达观数据,文本智能处理专家,150-500人,34,100,B轮,人工智能,62
5ec6a14c9812b424e27f2682,优必选科技,机器人 人工智能 领导nice 氛围好 福利好,500-2000人,38,100,C轮,"移动互联网,硬件",18
5ec6a14c9812b424e27f2683,斗象科技,互联网安全领导者（www.tophant.com - FreeBuf，漏洞盒子，斗象智能安全）,150-500人,82,100,C轮,信息安全,194
5ec6a14d9812b424e27f2684,假面科技,我们不自夸是家伟大的公司，但能承诺你高于行业水平的薪酬，不设限的发展空间，上手就是千万级用户的产品,150-500人,15,100,B轮,社交,86
5ec6a14d9812b424e27f2685,对啊网,对啊网|重塑职业未来，国内领先的在线职业教育网站,500-2000人,65,100,B轮,移动互联网,34
5ec6a14d9812b424e27f2686,果壳,国内知名科学文化品牌，以及在线教育、知识付费产品等多个知名子品牌。,150-500人,35,100,C轮,"移动互联网,社交",168
5ec6a14d9812b424e27f2687,站酷ZCOOL,中国最具人气的设计师互动平台,50-150人,24,100,B轮,"社交,文娱丨内容",114
5ec6a14d9812b424e27f2688,兔展RABBITPRE,国内领先的大数据驱动的技术营销服务商,150-500人,24,100,B轮,移动互联网,215
5ec6a14d9812b424e27f2689,有车以后,专注于汽车垂直领域“内容+数据+交易”的移动互联网公司。,150-500人,101,100,C轮,移动互联网,94
5ec6a14d9812b424e27f268a,薪人薪事,为更友好的人力资源管理而生，旨在帮助企业提升人力资源管理能力，激发组织员工和工作活力。,150-500人,44,100,C轮,企业服务,96
5ec6a14e9812b424e27f268b,梅卡曼德,致力于将智能赋予工业机器人，由清华海归团队创办，英特尔投资，技术领先，发展迅速,150-500人,41,100,B轮,"企业服务,硬件",25
5ec6a14e9812b424e27f268c,车轮,车轮，让有车生活更美好！,150-500人,22,100,D轮及以上,移动互联网,90
5ec6a14e9812b424e27f268d,心有灵犀,保障美好生活,150-500人,17,100,C轮,"移动互联网,金融",55
5ec6a1529812b424e27f268e,云麦YUNMAI,云麦科技（YUNMAI）成立于2014年，是一家提供智能健康解决方案的科技创新型互联网企业。,50-150人,18,100,B轮,"移动互联网,硬件",48
5ec6a1529812b424e27f268f,永洪科技,大数据小数据，一天实现可视化分析,150-500人,20,100,C轮,企业服务,184
5ec6a1529812b424e27f2690,夜神数娱,全球领先的智能分发网络平台,150-500人,31,100,D轮及以上,移动互联网,37
5ec6a1539812b424e27f2691,心潮,心如潮汐，科技的态度是对世界的温度,15-50人,30,100,A轮,"移动互联网,医疗丨健康",22
5ec6a1539812b424e27f2692,小肚皮App,00后广受欢迎的社交养成平台,15-50人,38,100,A轮,社交,102
